model_name,prompt_idx,prompt_type,layer_idx,head_idx,sketch_dim,theta_elim,elimination_rate,resurrection_rate,false_elimination_rate,top8_overlap,top16_overlap,top32_overlap,rank_correlation,eliminated_count,false_eliminated_count,total_tokens,survivor_count,relevant_count
gpt2,3,long,0,0,8,0.05,1.0,0.0,1.0,0.125,0.25,0.4375,0.7948227791672019,73,32,73,0,32
gpt2,3,long,0,0,8,0.1,1.0,0.0,1.0,0.125,0.25,0.4375,0.7948227791672019,73,32,73,0,32
gpt2,3,long,0,0,8,0.15,1.0,0.0,1.0,0.125,0.25,0.4375,0.7948227791672019,73,32,73,0,32
gpt2,3,long,0,0,8,0.2,1.0,0.0,1.0,0.125,0.25,0.4375,0.7948227791672019,73,32,73,0,32
gpt2,3,long,0,0,8,0.25,1.0,0.0,1.0,0.125,0.25,0.4375,0.7948227791672019,73,32,73,0,32
gpt2,3,long,0,0,8,0.3,1.0,0.0,1.0,0.125,0.25,0.4375,0.7948227791672019,73,32,73,0,32
gpt2,3,long,0,0,8,0.35,1.0,0.0,1.0,0.125,0.25,0.4375,0.7948227791672019,73,32,73,0,32
gpt2,3,long,0,0,8,0.4,1.0,0.0,1.0,0.125,0.25,0.4375,0.7948227791672019,73,32,73,0,32
gpt2,3,long,0,0,8,0.45,1.0,0.0,1.0,0.125,0.25,0.4375,0.7948227791672019,73,32,73,0,32
gpt2,3,long,0,0,8,0.5,1.0,0.0,1.0,0.125,0.25,0.4375,0.7948227791672019,73,32,73,0,32
gpt2,3,long,0,0,8,0.55,1.0,0.0,1.0,0.125,0.25,0.4375,0.7948227791672019,73,32,73,0,32
gpt2,3,long,0,0,8,0.6,1.0,0.0,1.0,0.125,0.25,0.4375,0.7948227791672019,73,32,73,0,32
gpt2,3,long,0,0,8,0.65,1.0,0.0,1.0,0.125,0.25,0.4375,0.7948227791672019,73,32,73,0,32
gpt2,3,long,0,0,8,0.7,1.0,0.0,1.0,0.125,0.25,0.4375,0.7948227791672019,73,32,73,0,32
gpt2,3,long,0,0,8,0.75,1.0,0.0,1.0,0.125,0.25,0.4375,0.7948227791672019,73,32,73,0,32
gpt2,3,long,0,0,8,0.8,1.0,0.0,1.0,0.125,0.25,0.4375,0.7948227791672019,73,32,73,0,32
gpt2,3,long,0,0,8,0.85,1.0,0.0,1.0,0.125,0.25,0.4375,0.7948227791672019,73,32,73,0,32
gpt2,3,long,0,0,8,0.9,1.0,0.0,1.0,0.125,0.25,0.4375,0.7948227791672019,73,32,73,0,32
gpt2,3,long,0,0,8,0.95,1.0,0.0,1.0,0.125,0.25,0.4375,0.7948227791672019,73,32,73,0,32
gpt2,3,long,0,1,8,0.05,0.4794520547945205,0.5205479452054794,0.1875,0.875,0.625,0.65625,0.9083559377101451,35,6,73,38,32
gpt2,3,long,0,1,8,0.1,0.4794520547945205,0.5205479452054794,0.1875,0.875,0.625,0.65625,0.9083559377101451,35,6,73,38,32
gpt2,3,long,0,1,8,0.15,0.4794520547945205,0.5205479452054794,0.1875,0.875,0.625,0.65625,0.9083559377101451,35,6,73,38,32
gpt2,3,long,0,1,8,0.2,0.4794520547945205,0.5205479452054794,0.1875,0.875,0.625,0.65625,0.9083559377101451,35,6,73,38,32
gpt2,3,long,0,1,8,0.25,0.4794520547945205,0.5205479452054794,0.1875,0.875,0.625,0.65625,0.9083559377101451,35,6,73,38,32
gpt2,3,long,0,1,8,0.3,0.4794520547945205,0.5205479452054794,0.1875,0.875,0.625,0.65625,0.9083559377101451,35,6,73,38,32
gpt2,3,long,0,1,8,0.35,0.4794520547945205,0.5205479452054794,0.1875,0.875,0.625,0.65625,0.9083559377101451,35,6,73,38,32
gpt2,3,long,0,1,8,0.4,0.4794520547945205,0.5205479452054794,0.1875,0.875,0.625,0.65625,0.9083559377101451,35,6,73,38,32
gpt2,3,long,0,1,8,0.45,0.4794520547945205,0.5205479452054794,0.1875,0.875,0.625,0.65625,0.9083559377101451,35,6,73,38,32
gpt2,3,long,0,1,8,0.5,0.4794520547945205,0.5205479452054794,0.1875,0.875,0.625,0.65625,0.9083559377101451,35,6,73,38,32
gpt2,3,long,0,1,8,0.55,0.4794520547945205,0.5205479452054794,0.1875,0.875,0.625,0.65625,0.9083559377101451,35,6,73,38,32
gpt2,3,long,0,1,8,0.6,0.4794520547945205,0.5205479452054794,0.1875,0.875,0.625,0.65625,0.9083559377101451,35,6,73,38,32
gpt2,3,long,0,1,8,0.65,0.4794520547945205,0.5205479452054794,0.1875,0.875,0.625,0.65625,0.9083559377101451,35,6,73,38,32
gpt2,3,long,0,1,8,0.7,0.4794520547945205,0.5205479452054794,0.1875,0.875,0.625,0.65625,0.9083559377101451,35,6,73,38,32
gpt2,3,long,0,1,8,0.75,0.4794520547945205,0.5205479452054794,0.1875,0.875,0.625,0.65625,0.9083559377101451,35,6,73,38,32
gpt2,3,long,0,1,8,0.8,0.4794520547945205,0.5205479452054794,0.1875,0.875,0.625,0.65625,0.9083559377101451,35,6,73,38,32
gpt2,3,long,0,1,8,0.85,0.4794520547945205,0.5205479452054794,0.1875,0.875,0.625,0.65625,0.9083559377101451,35,6,73,38,32
gpt2,3,long,0,1,8,0.9,0.4794520547945205,0.5205479452054794,0.1875,0.875,0.625,0.65625,0.9083559377101451,35,6,73,38,32
gpt2,3,long,0,1,8,0.95,0.4794520547945205,0.5205479452054794,0.1875,0.875,0.625,0.65625,0.9083559377101451,35,6,73,38,32
gpt2,3,long,0,2,8,0.05,1.0,0.0,1.0,0.5,0.8125,0.84375,0.9671172430467929,73,32,73,0,32
gpt2,3,long,0,2,8,0.1,1.0,0.0,1.0,0.5,0.8125,0.84375,0.9671172430467929,73,32,73,0,32
gpt2,3,long,0,2,8,0.15,1.0,0.0,1.0,0.5,0.8125,0.84375,0.9671172430467929,73,32,73,0,32
gpt2,3,long,0,2,8,0.2,1.0,0.0,1.0,0.5,0.8125,0.84375,0.9671172430467929,73,32,73,0,32
gpt2,3,long,0,2,8,0.25,1.0,0.0,1.0,0.5,0.8125,0.84375,0.9671172430467929,73,32,73,0,32
gpt2,3,long,0,2,8,0.3,1.0,0.0,1.0,0.5,0.8125,0.84375,0.9671172430467929,73,32,73,0,32
gpt2,3,long,0,2,8,0.35,1.0,0.0,1.0,0.5,0.8125,0.84375,0.9671172430467929,73,32,73,0,32
gpt2,3,long,0,2,8,0.4,1.0,0.0,1.0,0.5,0.8125,0.84375,0.9671172430467929,73,32,73,0,32
gpt2,3,long,0,2,8,0.45,1.0,0.0,1.0,0.5,0.8125,0.84375,0.9671172430467929,73,32,73,0,32
gpt2,3,long,0,2,8,0.5,1.0,0.0,1.0,0.5,0.8125,0.84375,0.9671172430467929,73,32,73,0,32
gpt2,3,long,0,2,8,0.55,1.0,0.0,1.0,0.5,0.8125,0.84375,0.9671172430467929,73,32,73,0,32
gpt2,3,long,0,2,8,0.6,1.0,0.0,1.0,0.5,0.8125,0.84375,0.9671172430467929,73,32,73,0,32
gpt2,3,long,0,2,8,0.65,1.0,0.0,1.0,0.5,0.8125,0.84375,0.9671172430467929,73,32,73,0,32
gpt2,3,long,0,2,8,0.7,1.0,0.0,1.0,0.5,0.8125,0.84375,0.9671172430467929,73,32,73,0,32
gpt2,3,long,0,2,8,0.75,1.0,0.0,1.0,0.5,0.8125,0.84375,0.9671172430467929,73,32,73,0,32
gpt2,3,long,0,2,8,0.8,1.0,0.0,1.0,0.5,0.8125,0.84375,0.9671172430467929,73,32,73,0,32
gpt2,3,long,0,2,8,0.85,1.0,0.0,1.0,0.5,0.8125,0.84375,0.9671172430467929,73,32,73,0,32
gpt2,3,long,0,2,8,0.9,1.0,0.0,1.0,0.5,0.8125,0.84375,0.9671172430467929,73,32,73,0,32
gpt2,3,long,0,2,8,0.95,1.0,0.0,1.0,0.5,0.8125,0.84375,0.9671172430467929,73,32,73,0,32
gpt2,3,long,0,3,8,0.05,0.7534246575342466,0.2465753424657534,0.4375,0.875,0.9375,0.84375,0.9631731255997401,55,14,73,18,32
gpt2,3,long,0,3,8,0.1,0.7534246575342466,0.2465753424657534,0.4375,0.875,0.9375,0.84375,0.9631731255997401,55,14,73,18,32
gpt2,3,long,0,3,8,0.15,0.7534246575342466,0.2465753424657534,0.4375,0.875,0.9375,0.84375,0.9631731255997401,55,14,73,18,32
gpt2,3,long,0,3,8,0.2,0.7534246575342466,0.2465753424657534,0.4375,0.875,0.9375,0.84375,0.9631731255997401,55,14,73,18,32
gpt2,3,long,0,3,8,0.25,0.7534246575342466,0.2465753424657534,0.4375,0.875,0.9375,0.84375,0.9631731255997401,55,14,73,18,32
gpt2,3,long,0,3,8,0.3,0.7534246575342466,0.2465753424657534,0.4375,0.875,0.9375,0.84375,0.9631731255997401,55,14,73,18,32
gpt2,3,long,0,3,8,0.35,0.7534246575342466,0.2465753424657534,0.4375,0.875,0.9375,0.84375,0.9631731255997401,55,14,73,18,32
gpt2,3,long,0,3,8,0.4,0.7534246575342466,0.2465753424657534,0.4375,0.875,0.9375,0.84375,0.9631731255997401,55,14,73,18,32
gpt2,3,long,0,3,8,0.45,0.7534246575342466,0.2465753424657534,0.4375,0.875,0.9375,0.84375,0.9631731255997401,55,14,73,18,32
gpt2,3,long,0,3,8,0.5,0.7534246575342466,0.2465753424657534,0.4375,0.875,0.9375,0.84375,0.9631731255997401,55,14,73,18,32
gpt2,3,long,0,3,8,0.55,0.7671232876712328,0.2328767123287671,0.46875,0.875,0.9375,0.84375,0.9631731255997401,56,15,73,17,32
gpt2,3,long,0,3,8,0.6,0.7671232876712328,0.2328767123287671,0.46875,0.875,0.9375,0.84375,0.9631731255997401,56,15,73,17,32
gpt2,3,long,0,3,8,0.65,0.7671232876712328,0.2328767123287671,0.46875,0.875,0.9375,0.84375,0.9631731255997401,56,15,73,17,32
gpt2,3,long,0,3,8,0.7,0.7671232876712328,0.2328767123287671,0.46875,0.875,0.9375,0.84375,0.9631731255997401,56,15,73,17,32
gpt2,3,long,0,3,8,0.75,0.7671232876712328,0.2328767123287671,0.46875,0.875,0.9375,0.84375,0.9631731255997401,56,15,73,17,32
gpt2,3,long,0,3,8,0.8,0.7671232876712328,0.2328767123287671,0.46875,0.875,0.9375,0.84375,0.9631731255997401,56,15,73,17,32
gpt2,3,long,0,3,8,0.85,0.7671232876712328,0.2328767123287671,0.46875,0.875,0.9375,0.84375,0.9631731255997401,56,15,73,17,32
gpt2,3,long,0,3,8,0.9,0.7671232876712328,0.2328767123287671,0.46875,0.875,0.9375,0.84375,0.9631731255997401,56,15,73,17,32
gpt2,3,long,0,3,8,0.95,0.7671232876712328,0.2328767123287671,0.46875,0.875,0.9375,0.84375,0.9631731255997401,56,15,73,17,32
gpt2,3,long,0,4,8,0.05,0.0,1.0,0.0,0.0,0.0,0.46875,0.7695864721305035,0,0,73,73,32
gpt2,3,long,0,4,8,0.1,0.0,1.0,0.0,0.0,0.0,0.46875,0.7695864721305035,0,0,73,73,32
gpt2,3,long,0,4,8,0.15,0.0,1.0,0.0,0.0,0.0,0.46875,0.7695864721305035,0,0,73,73,32
gpt2,3,long,0,4,8,0.2,0.0,1.0,0.0,0.0,0.0,0.46875,0.7695864721305035,0,0,73,73,32
gpt2,3,long,0,4,8,0.25,0.0,1.0,0.0,0.0,0.0,0.46875,0.7695864721305035,0,0,73,73,32
gpt2,3,long,0,4,8,0.3,0.0,1.0,0.0,0.0,0.0,0.46875,0.7695864721305035,0,0,73,73,32
gpt2,3,long,0,4,8,0.35,0.0,1.0,0.0,0.0,0.0,0.46875,0.7695864721305035,0,0,73,73,32
gpt2,3,long,0,4,8,0.4,0.0,1.0,0.0,0.0,0.0,0.46875,0.7695864721305035,0,0,73,73,32
gpt2,3,long,0,4,8,0.45,0.0,1.0,0.0,0.0,0.0,0.46875,0.7695864721305035,0,0,73,73,32
gpt2,3,long,0,4,8,0.5,0.0,1.0,0.0,0.0,0.0,0.46875,0.7695864721305035,0,0,73,73,32
gpt2,3,long,0,4,8,0.55,0.0,1.0,0.0,0.0,0.0,0.46875,0.7695864721305035,0,0,73,73,32
gpt2,3,long,0,4,8,0.6,0.0,1.0,0.0,0.0,0.0,0.46875,0.7695864721305035,0,0,73,73,32
gpt2,3,long,0,4,8,0.65,0.0,1.0,0.0,0.0,0.0,0.46875,0.7695864721305035,0,0,73,73,32
gpt2,3,long,0,4,8,0.7,0.0,1.0,0.0,0.0,0.0,0.46875,0.7695864721305035,0,0,73,73,32
gpt2,3,long,0,4,8,0.75,0.0,1.0,0.0,0.0,0.0,0.46875,0.7695864721305035,0,0,73,73,32
gpt2,3,long,0,4,8,0.8,0.0,1.0,0.0,0.0,0.0,0.46875,0.7695864721305035,0,0,73,73,32
gpt2,3,long,0,4,8,0.85,0.0,1.0,0.0,0.0,0.0,0.46875,0.7695864721305035,0,0,73,73,32
gpt2,3,long,0,4,8,0.9,0.0,1.0,0.0,0.0,0.0,0.46875,0.7695864721305035,0,0,73,73,32
gpt2,3,long,0,4,8,0.95,0.0,1.0,0.0,0.0,0.0,0.46875,0.7695864721305035,0,0,73,73,32
gpt2,3,long,0,5,8,0.05,0.0958904109589041,0.9041095890410958,0.0,0.875,0.6875,0.75,0.9576196268955565,7,0,73,66,32
gpt2,3,long,0,5,8,0.1,0.0958904109589041,0.9041095890410958,0.0,0.875,0.6875,0.75,0.9576196268955565,7,0,73,66,32
gpt2,3,long,0,5,8,0.15,0.0958904109589041,0.9041095890410958,0.0,0.875,0.6875,0.75,0.9576196268955565,7,0,73,66,32
gpt2,3,long,0,5,8,0.2,0.0958904109589041,0.9041095890410958,0.0,0.875,0.6875,0.75,0.9576196268955565,7,0,73,66,32
gpt2,3,long,0,5,8,0.25,0.0958904109589041,0.9041095890410958,0.0,0.875,0.6875,0.75,0.9576196268955565,7,0,73,66,32
gpt2,3,long,0,5,8,0.3,0.1095890410958904,0.8904109589041096,0.0,0.875,0.6875,0.75,0.9576196268955565,8,0,73,65,32
gpt2,3,long,0,5,8,0.35,0.1095890410958904,0.8904109589041096,0.0,0.875,0.6875,0.75,0.9576196268955565,8,0,73,65,32
gpt2,3,long,0,5,8,0.4,0.1095890410958904,0.8904109589041096,0.0,0.875,0.6875,0.75,0.9576196268955565,8,0,73,65,32
gpt2,3,long,0,5,8,0.45,0.1095890410958904,0.8904109589041096,0.0,0.875,0.6875,0.75,0.9576196268955565,8,0,73,65,32
gpt2,3,long,0,5,8,0.5,0.1095890410958904,0.8904109589041096,0.0,0.875,0.6875,0.75,0.9576196268955565,8,0,73,65,32
gpt2,3,long,0,5,8,0.55,0.1095890410958904,0.8904109589041096,0.0,0.875,0.6875,0.75,0.9576196268955565,8,0,73,65,32
gpt2,3,long,0,5,8,0.6,0.1095890410958904,0.8904109589041096,0.0,0.875,0.6875,0.75,0.9576196268955565,8,0,73,65,32
gpt2,3,long,0,5,8,0.65,0.1095890410958904,0.8904109589041096,0.0,0.875,0.6875,0.75,0.9576196268955565,8,0,73,65,32
gpt2,3,long,0,5,8,0.7,0.1095890410958904,0.8904109589041096,0.0,0.875,0.6875,0.75,0.9576196268955565,8,0,73,65,32
gpt2,3,long,0,5,8,0.75,0.1095890410958904,0.8904109589041096,0.0,0.875,0.6875,0.75,0.9576196268955565,8,0,73,65,32
gpt2,3,long,0,5,8,0.8,0.1095890410958904,0.8904109589041096,0.0,0.875,0.6875,0.75,0.9576196268955565,8,0,73,65,32
gpt2,3,long,0,5,8,0.85,0.1095890410958904,0.8904109589041096,0.0,0.875,0.6875,0.75,0.9576196268955565,8,0,73,65,32
gpt2,3,long,0,5,8,0.9,0.1095890410958904,0.8904109589041096,0.0,0.875,0.6875,0.75,0.9576196268955565,8,0,73,65,32
gpt2,3,long,0,5,8,0.95,0.1095890410958904,0.8904109589041096,0.0,0.875,0.6875,0.75,0.9576196268955565,8,0,73,65,32
gpt2,3,long,0,6,8,0.05,0.9178082191780822,0.0821917808219178,0.8125,0.125,0.4375,0.625,0.8221218142940256,67,26,73,6,32
gpt2,3,long,0,6,8,0.1,0.9178082191780822,0.0821917808219178,0.8125,0.125,0.4375,0.625,0.8221218142940256,67,26,73,6,32
gpt2,3,long,0,6,8,0.15,0.9178082191780822,0.0821917808219178,0.8125,0.125,0.4375,0.625,0.8221218142940256,67,26,73,6,32
gpt2,3,long,0,6,8,0.2,0.9178082191780822,0.0821917808219178,0.8125,0.125,0.4375,0.625,0.8221218142940256,67,26,73,6,32
gpt2,3,long,0,6,8,0.25,0.9178082191780822,0.0821917808219178,0.8125,0.125,0.4375,0.625,0.8221218142940256,67,26,73,6,32
gpt2,3,long,0,6,8,0.3,0.9178082191780822,0.0821917808219178,0.8125,0.125,0.4375,0.625,0.8221218142940256,67,26,73,6,32
gpt2,3,long,0,6,8,0.35,0.9178082191780822,0.0821917808219178,0.8125,0.125,0.4375,0.625,0.8221218142940256,67,26,73,6,32
gpt2,3,long,0,6,8,0.4,0.9178082191780822,0.0821917808219178,0.8125,0.125,0.4375,0.625,0.8221218142940256,67,26,73,6,32
gpt2,3,long,0,6,8,0.45,0.9178082191780822,0.0821917808219178,0.8125,0.125,0.4375,0.625,0.8221218142940256,67,26,73,6,32
gpt2,3,long,0,6,8,0.5,0.9178082191780822,0.0821917808219178,0.8125,0.125,0.4375,0.625,0.8221218142940256,67,26,73,6,32
gpt2,3,long,0,6,8,0.55,0.9178082191780822,0.0821917808219178,0.8125,0.125,0.4375,0.625,0.8221218142940256,67,26,73,6,32
gpt2,3,long,0,6,8,0.6,0.9178082191780822,0.0821917808219178,0.8125,0.125,0.4375,0.625,0.8221218142940256,67,26,73,6,32
gpt2,3,long,0,6,8,0.65,0.9178082191780822,0.0821917808219178,0.8125,0.125,0.4375,0.625,0.8221218142940256,67,26,73,6,32
gpt2,3,long,0,6,8,0.7,0.9178082191780822,0.0821917808219178,0.8125,0.125,0.4375,0.625,0.8221218142940256,67,26,73,6,32
gpt2,3,long,0,6,8,0.75,0.9178082191780822,0.0821917808219178,0.8125,0.125,0.4375,0.625,0.8221218142940256,67,26,73,6,32
gpt2,3,long,0,6,8,0.8,0.9178082191780822,0.0821917808219178,0.8125,0.125,0.4375,0.625,0.8221218142940256,67,26,73,6,32
gpt2,3,long,0,6,8,0.85,0.9178082191780822,0.0821917808219178,0.8125,0.125,0.4375,0.625,0.8221218142940256,67,26,73,6,32
gpt2,3,long,0,6,8,0.9,0.9178082191780822,0.0821917808219178,0.8125,0.125,0.4375,0.625,0.8221218142940256,67,26,73,6,32
gpt2,3,long,0,6,8,0.95,0.9178082191780822,0.0821917808219178,0.8125,0.125,0.4375,0.625,0.8221218142940256,67,26,73,6,32
gpt2,3,long,0,7,8,0.05,0.4246575342465753,0.5753424657534246,0.15625,0.75,0.9375,0.84375,0.9459761690681456,31,5,73,42,32
gpt2,3,long,0,7,8,0.1,0.4246575342465753,0.5753424657534246,0.15625,0.75,0.9375,0.84375,0.9459761690681456,31,5,73,42,32
gpt2,3,long,0,7,8,0.15,0.4246575342465753,0.5753424657534246,0.15625,0.75,0.9375,0.84375,0.9459761690681456,31,5,73,42,32
gpt2,3,long,0,7,8,0.2,0.4246575342465753,0.5753424657534246,0.15625,0.75,0.9375,0.84375,0.9459761690681456,31,5,73,42,32
gpt2,3,long,0,7,8,0.25,0.4246575342465753,0.5753424657534246,0.15625,0.75,0.9375,0.84375,0.9459761690681456,31,5,73,42,32
gpt2,3,long,0,7,8,0.3,0.4246575342465753,0.5753424657534246,0.15625,0.75,0.9375,0.84375,0.9459761690681456,31,5,73,42,32
gpt2,3,long,0,7,8,0.35,0.4246575342465753,0.5753424657534246,0.15625,0.75,0.9375,0.84375,0.9459761690681456,31,5,73,42,32
gpt2,3,long,0,7,8,0.4,0.4246575342465753,0.5753424657534246,0.15625,0.75,0.9375,0.84375,0.9459761690681456,31,5,73,42,32
gpt2,3,long,0,7,8,0.45,0.4246575342465753,0.5753424657534246,0.15625,0.75,0.9375,0.84375,0.9459761690681456,31,5,73,42,32
gpt2,3,long,0,7,8,0.5,0.4246575342465753,0.5753424657534246,0.15625,0.75,0.9375,0.84375,0.9459761690681456,31,5,73,42,32
gpt2,3,long,0,7,8,0.55,0.4246575342465753,0.5753424657534246,0.15625,0.75,0.9375,0.84375,0.9459761690681456,31,5,73,42,32
gpt2,3,long,0,7,8,0.6,0.4246575342465753,0.5753424657534246,0.15625,0.75,0.9375,0.84375,0.9459761690681456,31,5,73,42,32
gpt2,3,long,0,7,8,0.65,0.4246575342465753,0.5753424657534246,0.15625,0.75,0.9375,0.84375,0.9459761690681456,31,5,73,42,32
gpt2,3,long,0,7,8,0.7,0.4246575342465753,0.5753424657534246,0.15625,0.75,0.9375,0.84375,0.9459761690681456,31,5,73,42,32
gpt2,3,long,0,7,8,0.75,0.4246575342465753,0.5753424657534246,0.15625,0.75,0.9375,0.84375,0.9459761690681456,31,5,73,42,32
gpt2,3,long,0,7,8,0.8,0.4246575342465753,0.5753424657534246,0.15625,0.75,0.9375,0.84375,0.9459761690681456,31,5,73,42,32
gpt2,3,long,0,7,8,0.85,0.4246575342465753,0.5753424657534246,0.15625,0.75,0.9375,0.84375,0.9459761690681456,31,5,73,42,32
gpt2,3,long,0,7,8,0.9,0.4246575342465753,0.5753424657534246,0.15625,0.75,0.9375,0.84375,0.9459761690681456,31,5,73,42,32
gpt2,3,long,0,7,8,0.95,0.4246575342465753,0.5753424657534246,0.15625,0.75,0.9375,0.84375,0.9459761690681456,31,5,73,42,32
gpt2,3,long,0,8,8,0.05,0.4520547945205479,0.547945205479452,0.15625,0.625,0.6875,0.78125,0.9568716046211154,33,5,73,40,32
gpt2,3,long,0,8,8,0.1,0.4520547945205479,0.547945205479452,0.15625,0.625,0.6875,0.78125,0.9568716046211154,33,5,73,40,32
gpt2,3,long,0,8,8,0.15,0.4520547945205479,0.547945205479452,0.15625,0.625,0.6875,0.78125,0.9568716046211154,33,5,73,40,32
gpt2,3,long,0,8,8,0.2,0.4520547945205479,0.547945205479452,0.15625,0.625,0.6875,0.78125,0.9568716046211154,33,5,73,40,32
gpt2,3,long,0,8,8,0.25,0.4520547945205479,0.547945205479452,0.15625,0.625,0.6875,0.78125,0.9568716046211154,33,5,73,40,32
gpt2,3,long,0,8,8,0.3,0.4520547945205479,0.547945205479452,0.15625,0.625,0.6875,0.78125,0.9568716046211154,33,5,73,40,32
gpt2,3,long,0,8,8,0.35,0.4520547945205479,0.547945205479452,0.15625,0.625,0.6875,0.78125,0.9568716046211154,33,5,73,40,32
gpt2,3,long,0,8,8,0.4,0.4520547945205479,0.547945205479452,0.15625,0.625,0.6875,0.78125,0.9568716046211154,33,5,73,40,32
gpt2,3,long,0,8,8,0.45,0.4520547945205479,0.547945205479452,0.15625,0.625,0.6875,0.78125,0.9568716046211154,33,5,73,40,32
gpt2,3,long,0,8,8,0.5,0.4520547945205479,0.547945205479452,0.15625,0.625,0.6875,0.78125,0.9568716046211154,33,5,73,40,32
gpt2,3,long,0,8,8,0.55,0.4520547945205479,0.547945205479452,0.15625,0.625,0.6875,0.78125,0.9568716046211154,33,5,73,40,32
gpt2,3,long,0,8,8,0.6,0.4520547945205479,0.547945205479452,0.15625,0.625,0.6875,0.78125,0.9568716046211154,33,5,73,40,32
gpt2,3,long,0,8,8,0.65,0.4520547945205479,0.547945205479452,0.15625,0.625,0.6875,0.78125,0.9568716046211154,33,5,73,40,32
