layer_idx,sketch_dim,theta_elim,elimination_rate_mean,elimination_rate_std,resurrection_rate_mean,resurrection_rate_std,false_elimination_rate_mean,false_elimination_rate_std,top8_overlap_mean,top8_overlap_std,top16_overlap_mean,top16_overlap_std,top32_overlap_mean,top32_overlap_std,rank_correlation_mean,rank_correlation_std,eliminated_count,false_eliminated_count,total_tokens,survivor_count,relevant_count,num_samples
0,8,0.05,0.550438,0.418392,0.449562,0.418392,0.463108,0.431391,0.506944,0.284044,0.613715,0.254586,0.742622,0.163337,0.897279,0.090735,2526,1067,4512,1986,2304,72
0,8,0.1,0.550628,0.418575,0.449372,0.418575,0.463542,0.431821,0.506944,0.284044,0.613715,0.254586,0.742622,0.163337,0.897279,0.090735,2527,1068,4512,1985,2304,72
0,8,0.15,0.551107,0.418339,0.448893,0.418339,0.463542,0.431821,0.506944,0.284044,0.613715,0.254586,0.742622,0.163337,0.897279,0.090735,2529,1068,4512,1983,2304,72
0,8,0.2,0.551107,0.418339,0.448893,0.418339,0.463542,0.431821,0.506944,0.284044,0.613715,0.254586,0.742622,0.163337,0.897279,0.090735,2529,1068,4512,1983,2304,72
0,8,0.25,0.551303,0.4184,0.448697,0.4184,0.463976,0.431653,0.506944,0.284044,0.613715,0.254586,0.742622,0.163337,0.897279,0.090735,2530,1069,4512,1982,2304,72
0,8,0.3,0.551689,0.418271,0.448311,0.418271,0.46441,0.431705,0.506944,0.284044,0.613715,0.254586,0.742622,0.163337,0.897279,0.090735,2532,1070,4512,1980,2304,72
0,8,0.35,0.552141,0.418144,0.447859,0.418144,0.464844,0.431787,0.506944,0.284044,0.613715,0.254586,0.742622,0.163337,0.897279,0.090735,2534,1071,4512,1978,2304,72
0,8,0.4,0.553321,0.41834,0.446679,0.41834,0.46658,0.431705,0.506944,0.284044,0.613715,0.254586,0.742622,0.163337,0.897279,0.090735,2539,1075,4512,1973,2304,72
0,8,0.45,0.553321,0.41834,0.446679,0.41834,0.46658,0.431705,0.506944,0.284044,0.613715,0.254586,0.742622,0.163337,0.897279,0.090735,2539,1075,4512,1973,2304,72
0,8,0.5,0.553769,0.418458,0.446231,0.418458,0.467014,0.431597,0.506944,0.284044,0.613715,0.254586,0.742622,0.163337,0.897279,0.090735,2541,1076,4512,1971,2304,72
0,8,0.55,0.554438,0.418707,0.445562,0.418707,0.467882,0.431788,0.506944,0.284044,0.613715,0.254586,0.742622,0.163337,0.897279,0.090735,2544,1078,4512,1968,2304,72
0,8,0.6,0.555126,0.418999,0.444874,0.418999,0.469184,0.432119,0.506944,0.284044,0.613715,0.254586,0.742622,0.163337,0.897279,0.090735,2547,1081,4512,1965,2304,72
0,8,0.65,0.555365,0.419159,0.444635,0.419159,0.469618,0.432354,0.506944,0.284044,0.613715,0.254586,0.742622,0.163337,0.897279,0.090735,2548,1082,4512,1964,2304,72
0,8,0.7,0.555623,0.41896,0.444377,0.41896,0.469618,0.432354,0.506944,0.284044,0.613715,0.254586,0.742622,0.163337,0.897279,0.090735,2549,1082,4512,1963,2304,72
0,8,0.75,0.555862,0.41913,0.444138,0.41913,0.470052,0.432619,0.506944,0.284044,0.613715,0.254586,0.742622,0.163337,0.897279,0.090735,2550,1083,4512,1962,2304,72
0,8,0.8,0.556315,0.41945,0.443685,0.41945,0.47092,0.433273,0.506944,0.284044,0.613715,0.254586,0.742622,0.163337,0.897279,0.090735,2552,1085,4512,1960,2304,72
0,8,0.85,0.556315,0.41945,0.443685,0.41945,0.47092,0.433273,0.506944,0.284044,0.613715,0.254586,0.742622,0.163337,0.897279,0.090735,2552,1085,4512,1960,2304,72
0,8,0.9,0.556763,0.419249,0.443237,0.419249,0.471354,0.432848,0.506944,0.284044,0.613715,0.254586,0.742622,0.163337,0.897279,0.090735,2554,1086,4512,1958,2304,72
0,8,0.95,0.556763,0.419249,0.443237,0.419249,0.471354,0.432848,0.506944,0.284044,0.613715,0.254586,0.742622,0.163337,0.897279,0.090735,2554,1086,4512,1958,2304,72
0,16,0.05,0.533368,0.42786,0.466632,0.42786,0.453993,0.456018,0.598958,0.238392,0.710069,0.190459,0.803819,0.132605,0.936732,0.058853,2431,1046,4512,2081,2304,72
0,16,0.1,0.534478,0.427824,0.465522,0.427824,0.454861,0.456432,0.598958,0.238392,0.710069,0.190459,0.803819,0.132605,0.936732,0.058853,2436,1048,4512,2076,2304,72
0,16,0.15,0.534478,0.427824,0.465522,0.427824,0.454861,0.456432,0.598958,0.238392,0.710069,0.190459,0.803819,0.132605,0.936732,0.058853,2436,1048,4512,2076,2304,72
0,16,0.2,0.534988,0.427818,0.465012,0.427818,0.455729,0.456398,0.598958,0.238392,0.710069,0.190459,0.803819,0.132605,0.936732,0.058853,2438,1050,4512,2074,2304,72
0,16,0.25,0.535441,0.427503,0.464559,0.427503,0.455729,0.456398,0.598958,0.238392,0.710069,0.190459,0.803819,0.132605,0.936732,0.058853,2440,1050,4512,2072,2304,72
0,16,0.3,0.535631,0.427548,0.464369,0.427548,0.455729,0.456398,0.598958,0.238392,0.710069,0.190459,0.803819,0.132605,0.936732,0.058853,2441,1050,4512,2071,2304,72
0,16,0.35,0.535821,0.427368,0.464179,0.427368,0.455729,0.456398,0.598958,0.238392,0.710069,0.190459,0.803819,0.132605,0.936732,0.058853,2442,1050,4512,2070,2304,72
0,16,0.4,0.535821,0.427368,0.464179,0.427368,0.455729,0.456398,0.598958,0.238392,0.710069,0.190459,0.803819,0.132605,0.936732,0.058853,2442,1050,4512,2070,2304,72
0,16,0.45,0.536465,0.427238,0.463535,0.427238,0.456163,0.456425,0.598958,0.238392,0.710069,0.190459,0.803819,0.132605,0.936732,0.058853,2445,1051,4512,2067,2304,72
0,16,0.5,0.53734,0.427051,0.46266,0.427051,0.457031,0.456567,0.598958,0.238392,0.710069,0.190459,0.803819,0.132605,0.936732,0.058853,2449,1053,4512,2063,2304,72
