model_name,prompt_idx,prompt_type,prompt_length,layer_idx,head_idx,sketch_dim,theta,topk_overlap,rank_correlation,false_elimination_rate,elimination_rate,num_tokens
gpt2,0,short,10,0,0,8,0.1,0.875,0.8337662337662339,1.0,1.0,10
gpt2,0,short,10,0,1,8,0.1,0.875,0.9064935064935066,1.0,1.0,10
gpt2,0,short,10,0,2,8,0.1,0.875,0.9532467532467533,1.0,1.0,10
gpt2,0,short,10,0,3,8,0.1,0.75,0.8519480519480521,1.0,1.0,10
gpt2,0,short,10,0,4,8,0.1,0.75,0.9376623376623378,0.0,0.0,10
gpt2,0,short,10,0,5,8,0.1,0.875,0.8467532467532469,0.0,0.0,10
gpt2,0,short,10,0,6,8,0.1,0.875,0.7922077922077924,0.0,0.0,10
gpt2,0,short,10,0,7,8,0.1,0.75,0.6805194805194806,0.0,0.0,10
gpt2,0,short,10,0,8,8,0.1,1.0,0.942857142857143,1.0,1.0,10
gpt2,0,short,10,0,9,8,0.1,0.75,0.8025974025974028,0.375,0.4,10
gpt2,0,short,10,0,10,8,0.1,0.75,0.7376623376623378,0.0,0.0,10
gpt2,0,short,10,0,11,8,0.1,0.75,0.7584415584415586,0.875,0.9,10
gpt2,0,short,10,0,0,8,0.3,0.875,0.8337662337662339,1.0,1.0,10
gpt2,0,short,10,0,1,8,0.3,0.875,0.9064935064935066,1.0,1.0,10
gpt2,0,short,10,0,2,8,0.3,0.875,0.9532467532467533,1.0,1.0,10
gpt2,0,short,10,0,3,8,0.3,0.75,0.8519480519480521,1.0,1.0,10
gpt2,0,short,10,0,4,8,0.3,0.75,0.9376623376623378,0.0,0.0,10
gpt2,0,short,10,0,5,8,0.3,0.875,0.8467532467532469,0.0,0.0,10
gpt2,0,short,10,0,6,8,0.3,0.875,0.7922077922077924,0.0,0.0,10
gpt2,0,short,10,0,7,8,0.3,0.75,0.6805194805194806,0.0,0.0,10
gpt2,0,short,10,0,8,8,0.3,1.0,0.942857142857143,1.0,1.0,10
gpt2,0,short,10,0,9,8,0.3,0.75,0.8025974025974028,0.375,0.4,10
gpt2,0,short,10,0,10,8,0.3,0.75,0.7376623376623378,0.0,0.0,10
gpt2,0,short,10,0,11,8,0.3,0.75,0.7584415584415586,1.0,1.0,10
gpt2,0,short,10,0,0,8,0.5,0.875,0.8337662337662339,1.0,1.0,10
gpt2,0,short,10,0,1,8,0.5,0.875,0.9064935064935066,1.0,1.0,10
gpt2,0,short,10,0,2,8,0.5,0.875,0.9532467532467533,1.0,1.0,10
gpt2,0,short,10,0,3,8,0.5,0.75,0.8519480519480521,1.0,1.0,10
gpt2,0,short,10,0,4,8,0.5,0.75,0.9376623376623378,0.0,0.0,10
gpt2,0,short,10,0,5,8,0.5,0.875,0.8467532467532469,0.0,0.0,10
gpt2,0,short,10,0,6,8,0.5,0.875,0.7922077922077924,0.0,0.0,10
gpt2,0,short,10,0,7,8,0.5,0.75,0.6805194805194806,0.0,0.0,10
gpt2,0,short,10,0,8,8,0.5,1.0,0.942857142857143,1.0,1.0,10
gpt2,0,short,10,0,9,8,0.5,0.75,0.8025974025974028,0.375,0.4,10
